geo,TIME_PERIOD,LifeExpectancyTotal,LifeExpectancyFemale,LifeExpectancyMale,GDP,Country,PM2_5,PM10
AL,2010,0.0,0.0,0.0,29.0,Albania,0.0,0.0
AL,2011,0.0,0.0,0.0,30.0,Albania,0.0,0.0
AL,2012,0.0,0.0,0.0,30.0,Albania,0.0,0.0
AL,2013,77.9,80.1,80.1,29.0,Albania,0.0,0.0
AL,2014,78.2,80.1,80.1,30.0,Albania,0.0,0.0
AL,2015,77.9,79.7,79.7,30.0,Albania,0.0,0.0
AL,2016,78.5,80.1,80.1,30.0,Albania,0.0,0.0
AL,2017,78.5,80.1,80.1,30.0,Albania,0.0,0.0
AL,2018,78.9,80.5,80.5,30.0,Albania,0.0,0.0
AL,2019,79.1,80.7,80.7,30.0,Albania,0.0,0.0
AL,2020,77.4,79.6,79.6,31.0,Albania,0.0,0.0
AL,2021,0.0,0.0,0.0,32.0,Albania,0.0,0.0
AT,2010,80.7,83.5,83.5,128.0,Austria,19.9,26.9
AT,2011,81.1,83.8,83.8,129.0,Austria,19.0,27.1
AT,2012,81.1,83.6,83.6,133.0,Austria,16.2,22.5
AT,2013,81.3,83.8,83.8,133.0,Austria,17.3,24.6
AT,2014,81.6,84.0,84.0,132.0,Austria,14.9,21.5
AT,2015,81.3,83.7,83.7,131.0,Austria,14.5,20.8
AT,2016,81.8,84.1,84.1,130.0,Austria,13.1,18.3
AT,2017,81.7,84.0,84.0,127.0,Austria,14.1,19.1
AT,2018,81.8,84.1,84.1,127.0,Austria,15.5,21.8
AT,2019,82.0,84.2,84.2,126.0,Austria,12.0,17.4
AT,2020,81.3,83.6,83.6,125.0,Austria,0.0,0.0
AT,2021,81.3,83.8,83.8,123.0,Austria,0.0,0.0
BE,2010,80.3,83.0,83.0,121.0,Belgium,17.7,27.0
BE,2011,80.7,83.3,83.3,119.0,Belgium,17.7,26.7
BE,2012,80.5,83.1,83.1,121.0,Belgium,16.1,24.8
BE,2013,80.7,83.2,83.2,121.0,Belgium,16.7,25.0
BE,2014,81.4,83.9,83.9,121.0,Belgium,14.4,22.4
BE,2015,81.1,83.4,83.4,121.0,Belgium,13.5,21.4
BE,2016,81.5,84.0,84.0,120.0,Belgium,13.3,20.9
BE,2017,81.6,83.9,83.9,118.0,Belgium,12.8,20.4
BE,2018,81.7,83.9,83.9,118.0,Belgium,12.8,21.5
BE,2019,82.1,84.3,84.3,118.0,Belgium,11.1,18.9
BE,2020,80.8,83.0,83.0,119.0,Belgium,0.0,0.0
BE,2021,81.9,84.4,84.4,120.0,Belgium,0.0,0.0
BG,2010,73.8,77.4,77.4,45.0,Bulgaria,31.1,48.4
BG,2011,74.2,77.8,77.8,46.0,Bulgaria,41.3,57.3
BG,2012,74.4,77.9,77.9,47.0,Bulgaria,29.3,45.9
BG,2013,74.9,78.6,78.6,46.0,Bulgaria,26.3,43.4
BG,2014,74.5,78.0,78.0,47.0,Bulgaria,26.1,41.2
BG,2015,74.7,78.2,78.2,48.0,Bulgaria,25.0,36.2
BG,2016,74.9,78.5,78.5,49.0,Bulgaria,20.2,36.8
BG,2017,74.8,78.4,78.4,50.0,Bulgaria,23.8,36.8
BG,2018,75.0,78.6,78.6,52.0,Bulgaria,20.1,33.8
BG,2019,75.1,78.8,78.8,53.0,Bulgaria,19.6,30.4
BG,2020,73.6,77.5,77.5,55.0,Bulgaria,0.0,0.0
BG,2021,71.4,75.1,75.1,57.0,Bulgaria,0.0,0.0
CH,2010,82.7,84.9,84.9,165.0,Switzerland,0.0,20.3
CH,2011,82.8,85.0,85.0,167.0,Switzerland,0.0,21.3
CH,2012,82.8,84.9,84.9,170.0,Switzerland,0.0,18.4
CH,2013,82.9,85.0,85.0,171.0,Switzerland,0.0,18.9
CH,2014,83.3,85.4,85.4,171.0,Switzerland,0.0,0.0
CH,2015,83.0,85.1,85.1,171.0,Switzerland,11.3,17.4
CH,2016,83.7,85.6,85.6,166.0,Switzerland,10.1,15.0
CH,2017,83.7,85.6,85.6,160.0,Switzerland,10.0,15.3
CH,2018,83.8,85.7,85.7,158.0,Switzerland,11.1,15.4
CH,2019,84.0,85.8,85.8,153.0,Switzerland,9.2,13.6
CH,2020,83.1,85.1,85.1,154.0,Switzerland,0.0,0.0
CH,2021,84.0,85.9,85.9,155.0,Switzerland,0.0,0.0
CY,2010,81.5,83.9,83.9,102.0,Cyprus,22.2,48.0
CY,2011,81.2,83.1,83.1,97.0,Cyprus,23.2,35.7
