geo,time_period,life_expectancy_total,life_expectancy_female,life_expectancy_male,gdp,country,pm2_5,pm10,loc_code,dpt,measles,tetanus,current_health_expenditure,current_health_expenditure_per_capita,co2_metric_tons_per_capita,sf6_metric_tons,nitrous_oxide_metric_tons,hfc_metric_tons,alcohol,tobacco,working_hours,bmi_over30,polio,bcg,hepb
AL,2010,0.0,0.0,0.0,29.0,Albania,0.0,0.0,ALB,99,99,87,4.7457962,192.0032196,1.52762366260495,0,1110,105,4.88 ,28.0,0.0,17.4 ,99.0,99.0,99.0
AL,2011,0.0,0.0,0.0,30.0,Albania,0.0,0.0,ALB,99,99,87,4.79534149,211.07551575,1.66942319005525,0,1150,0,5.03 ,0.0,0.0,18.1 ,99.0,97.0,99.0
AL,2012,0.0,0.0,0.0,30.0,Albania,0.0,0.0,ALB,99,98,87,5.05526543,213.71974182,1.50324046003101,0,1150,0,4.43 ,0.0,0.0,18.8 ,99.0,96.0,99.0
AL,2013,77.9,80.1,76.0,29.0,Albania,0.0,0.0,ALB,99,99,87,5.38561106,236.95796204,1.53363003912154,0,1120,0,4.28 ,0.0,0.0,19.5 ,99.0,99.0,99.0
AL,2014,78.2,80.1,76.4,30.0,Albania,0.0,0.0,ALB,98,98,92,5.50347328,251.35826111,1.66833737091547,0,1140,0,4.1 ,0.0,0.0,20.2 ,98.0,99.0,98.0
AL,2015,77.9,79.7,76.3,30.0,Albania,0.0,0.0,ALB,99,97,92,4.89631176,192.88513184,1.60377514987108,0,1190,0,4.33 ,25.1,0.0,20.9 ,99.0,99.0,99.0
AL,2016,78.5,80.1,77.1,30.0,Albania,0.0,0.0,ALB,98,96,92,4.91601658,202.01332092,1.55766435847472,0,1220,0,4.38 ,0.0,0.0,21.6 ,98.0,99.0,98.0
AL,2017,78.5,80.1,77.1,30.0,Albania,0.0,0.0,ALB,99,96,95,5.01263571,226.28067017,1.78878607422544,0,1190,0,4.39 ,0.0,0.0,0,99.0,99.0,99.0
AL,2018,78.9,80.5,77.4,30.0,Albania,0.0,0.0,ALB,99,94,95,5.23207188,274.91409302,1.78273894754715,0,1080,0,4.44 ,23.0,0.0,0,99.0,99.0,99.0
AL,2019,79.1,80.7,77.6,30.0,Albania,0.0,0.0,ALB,99,95,96,0,0,1.69224831964856,0,1100,0,4.4 ,23.0,0.0,0,99.0,99.0,99.0
