geo,TIME_PERIOD,OBS_VALUE
AL,2009,
AL,2010,
AL,2011,
AL,2012,
AL,2013,
AL,2014,
AL,2015,
AL,2016,
AL,2017,
AL,2018,
AL,2019,
AL,2020,
AT,2009,3169.99
AT,2010,3247.00
AT,2011,3302.65
AT,2012,3429.78
AT,2013,3495.89
AT,2014,3553.70
AT,2015,3620.29
AT,2016,3676.23
AT,2017,3742.57
AT,2018,3849.24
AT,2019,3983.75
AT,2020,4095.27
BA,2009,
BA,2010,
BA,2011,
BA,2012,
BA,2013,666.90
BA,2014,686.67
BA,2015,744.89
BA,2016,812.92
BA,2017,807.27
BA,2018,848.64
BA,2019,
BA,2020,
BE,2009,2876.32
BE,2010,2979.77
BE,2011,3081.24
BE,2012,3164.22
BE,2013,3249.24
BE,2014,3350.16
BE,2015,3520.61
BE,2016,3537.17
BE,2017,3605.86
BE,2018,3707.42
BE,2019,3791.69
BE,2020,3764.09
BG,2009,
BG,2010,
BG,2011,864.64
BG,2012,939.06
BG,2013,908.95
BG,2014,1030.03
BG,2015,1052.09
BG,2016,1130.96
BG,2017,1191.83
BG,2018,1232.44
BG,2019,1271.92
BG,2020,1477.92
CH,2009,
CH,2010,3879.94
CH,2011,3997.68
CH,2012,4160.07
CH,2013,4344.24
CH,2014,4504.87
CH,2015,4735.17
CH,2016,4817.22
CH,2017,4834.72
CH,2018,4834.25
CH,2019,4917.63
CH,2020,4997.35
CY,2009,
CY,2010,1581.76
CY,2011,1537.40
CY,2012,1487.64
CY,2013,1479.17
CY,2014,1483.53
CY,2015,1527.13
CY,2016,1618.53
CY,2017,1700.59
CY,2018,1824.15
CY,2019,1924.99
CY,2020,2064.96
CZ,2009,
CZ,2010,
CZ,2011,
CZ,2012,
CZ,2013,1795.61
CZ,2014,1875.92
CZ,2015,1863.69
CZ,2016,1889.92
CZ,2017,2090.88
CZ,2018,2182.18
CZ,2019,2317.87
CZ,2020,2648.95
DE,2009,3166.88
DE,2010,3310.54
DE,2011,3471.02
DE,2012,3547.27
DE,2013,3631.26
DE,2014,3768.29
DE,2015,3878.42
DE,2016,4011.31
DE,2017,4203.61
DE,2018,4381.68
DE,2019,4539.02
DE,2020,4830.59
DK,2009,
DK,2010,3257.21
DK,2011,3248.68
DK,2012,3313.94
DK,2013,3318.85
DK,2014,3362.90
DK,2015,3461.54
DK,2016,3467.81
DK,2017,3600.07
DK,2018,3701.48
DK,2019,3796.57
DK,2020,3963.64
EE,2009,1013.39
EE,2010,1039.51
EE,2011,1066.89
EE,2012,1132.52
EE,2013,1199.81
EE,2014,1332.17
EE,2015,1421.02
EE,2016,1483.47
EE,2017,1550.07
EE,2018,1648.97
EE,2019,1737.07
EE,2020,1899.95
EL,2009,2120.13
EL,2010,1987.24
EL,2011,1740.26
EL,2012,1603.79
EL,2013,1531.11
EL,2014,1471.05
EL,2015,1554.69
EL,2016,1597.90
EL,2017,1584.83
EL,2018,1614.53
EL,2019,1664.31
EL,2020,1730.69
ES,2009,2126.25
ES,2010,2087.04
ES,2011,2078.00
ES,2012,2039.28
ES,2013,2027.05
ES,2014,2090.32
ES,2015,2211.32
ES,2016,2227.94
ES,2017,2336.18
ES,2018,2390.62
ES,2019,2495.34
ES,2020,2588.32
FI,2009,2543.19
FI,2010,2612.94
FI,2011,2734.98
FI,2012,2830.16
FI,2013,2884.39
FI,2014,2893.51
FI,2015,2923.83
FI,2016,2903.59
FI,2017,2968.04
FI,2018,3020.54
FI,2019,3105.14
FI,2020,3205.51
FR,2009,3007.74
FR,2010,3083.89
FR,2011,3163.21
FR,2012,3213.82
FR,2013,3333.01
FR,2014,3384.27
FR,2015,3417.90
FR,2016,3487.03
FR,2017,3524.58
FR,2018,3556.84
FR,2019,3660.64
FR,2020,3806.84
HR,2009,
HR,2010,
HR,2011,
HR,2012,
HR,2013,1009.90
HR,2014,1054.81
HR,2015,1115.16
HR,2016,1185.46
HR,2017,1241.09
HR,2018,1312.84
HR,2019,1386.30
HR,2020,1447.65
HU,2009,1156.79
HU,2010,1270.29
HU,2011,1334.33
HU,2012,1320.48
HU,2013,1335.83
HU,2014,1363.27
HU,2015,1385.02
HU,2016,1414.94
HU,2017,1406.29
HU,2018,1468.76
HU,2019,1483.33
HU,2020,1672.15
IE,2009,
IE,2010,
IE,2011,3190.46
IE,2012,3258.29
IE,2013,3153.29
IE,2014,3069.71
IE,2015,3145.70
IE,2016,3210.10
IE,2017,3297.59
IE,2018,3397.36
IE,2019,3504.36
IE,2020,3740.30
IS,2009,
IS,2010,
IS,2011,2517.72
IS,2012,2540.75
IS,2013,2565.27
IS,2014,2633.00
IS,2015,2734.05
IS,2016,2782.27
IS,2017,2894.76
IS,2018,2954.43
IS,2019,3058.84
IS,2020,3216.32
IT,2009,
IT,2010,
IT,2011,
IT,2012,2296.03
IT,2013,2231.49
IT,2014,2221.36
IT,2015,2262.12
IT,2016,2316.63
IT,2017,2377.12
IT,2018,2438.42
IT,2019,2525.47
IT,2020,2608.60
LI,2009,
LI,2010,
LI,2011,
LI,2012,
LI,2013,
LI,2014,
LI,2015,
LI,2016,
LI,2017,
LI,2018,
LI,2019,
LI,2020,
LT,2009,1025.49
LT,2010,1045.77
LT,2011,1128.52
LT,2012,1172.07
LT,2013,1219.24
LT,2014,1303.24
LT,2015,1403.95
LT,2016,1484.37
LT,2017,1570.83
LT,2018,1671.81
LT,2019,1899.83
LT,2020,2006.19
LU,2009,
LU,2010,
LU,2011,3671.55
LU,2012,3307.30
LU,2013,3400.25
LU,2014,3443.02
LU,2015,3436.32
LU,2016,3450.40
LU,2017,3512.82
LU,2018,3691.29
LU,2019,3810.67
LU,2020,3918.28
LV,2009,
LV,2010,
LV,2011,
LV,2012,
LV,2013,901.78
LV,2014,941.02
LV,2015,1028.68
LV,2016,1141.89
LV,2017,1180.37
LV,2018,1298.05
LV,2019,1434.81
LV,2020,1550.95
ME,2009,
ME,2010,
ME,2011,
ME,2012,
ME,2013,
ME,2014,
ME,2015,
ME,2016,
ME,2017,
ME,2018,
ME,2019,
ME,2020,
MK,2009,
MK,2010,
MK,2011,
MK,2012,
MK,2013,
MK,2014,
MK,2015,
MK,2016,
MK,2017,
MK,2018,
MK,2019,
MK,2020,
MT,2009,
MT,2010,
MT,2011,
MT,2012,
MT,2013,
MT,2014,2180.07
MT,2015,2354.81
MT,2016,2442.21
MT,2017,2572.91
MT,2018,2631.02
MT,2019,2942.56
MT,2020,3004.47
NL,2009,3436.15
NL,2010,3411.33
NL,2011,3471.53
NL,2012,3574.77
NL,2013,3610.89
NL,2014,3609.46
NL,2015,3608.26
NL,2016,3605.70
NL,2017,3699.22
NL,2018,3823.97
NL,2019,3997.61
NL,2020,4302.20
NO,2009,
NO,2010,
NO,2011,3773.91
NO,2012,3894.15
NO,2013,4023.00
NO,2014,4174.73
NO,2015,4193.95
NO,2016,4177.71
NO,2017,4389.67
NO,2018,4530.41
NO,2019,4587.54
NO,2020,4581.80
PL,2009,
PL,2010,
PL,2011,
PL,2012,
PL,2013,1225.25
PL,2014,1234.02
PL,2015,1320.05
PL,2016,1378.62
PL,2017,1452.38
PL,2018,1469.42
PL,2019,1581.28
PL,2020,1591.47
PT,2009,1947.90
PT,2010,1967.08
PT,2011,1867.88
PT,2012,1809.58
PT,2013,1836.40
PT,2014,1856.16
PT,2015,1930.10
PT,2016,1991.96
PT,2017,2046.41
PT,2018,2186.10
PT,2019,2283.48
PT,2020,2330.85
RO,2009,
RO,2010,
RO,2011,633.33
RO,2012,664.90
RO,2013,759.04
RO,2014,766.43
RO,2015,796.29
RO,2016,885.15
RO,2017,995.50
RO,2018,1157.40
RO,2019,1306.38
RO,2020,1428.22
RS,2009,
RS,2010,
RS,2011,
RS,2012,
RS,2013,
RS,2014,
RS,2015,
RS,2016,
RS,2017,
RS,2018,
RS,2019,
RS,2020,
SE,2009,2674.66
SE,2010,2615.86
SE,2011,3389.56
SE,2012,3498.03
SE,2013,3470.16
SE,2014,3558.94
SE,2015,3664.68
SE,2016,3628.17
SE,2017,3675.03
SE,2018,3780.03
SE,2019,3816.39
SE,2020,4007.93
SI,2009,
SI,2010,
SI,2011,
SI,2012,
SI,2013,
SI,2014,1828.01
SI,2015,1888.89
SI,2016,1937.51
SI,2017,1994.49
SI,2018,2124.00
SI,2019,2282.22
SI,2020,2418.53
SK,2009,
SK,2010,
SK,2011,
SK,2012,1567.80
SK,2013,1579.39
SK,2014,1470.32
SK,2015,1507.97
SK,2016,1443.18
SK,2017,1390.23
SK,2018,1401.29
SK,2019,1498.47
SK,2020,1479.78
TR,2009,
TR,2010,
TR,2011,
TR,2012,
TR,2013,
TR,2014,
TR,2015,
TR,2016,
TR,2017,
TR,2018,
