geo,time_period,obs_value,life,country_name
AT,2010,3247.0,80.7,Austria
AT,2011,3302.65,81.1,Austria
AT,2012,3429.78,81.1,Austria
AT,2013,3495.89,81.3,Austria
AT,2014,3553.7,81.6,Austria
AT,2015,3620.29,81.3,Austria
AT,2016,3676.23,81.8,Austria
AT,2017,3742.57,81.7,Austria
AT,2018,3849.24,81.8,Austria
AT,2019,3983.75,82.0,Austria
AT,2020,4095.27,81.3,Austria
BE,2010,2979.77,80.3,Belgium
BE,2011,3081.24,80.7,Belgium
BE,2012,3164.22,80.5,Belgium
BE,2013,3249.24,80.7,Belgium
BE,2014,3350.16,81.4,Belgium
BE,2015,3520.61,81.1,Belgium
BE,2016,3537.17,81.5,Belgium
BE,2017,3605.86,81.6,Belgium
BE,2018,3707.42,81.7,Belgium
BE,2019,3791.69,82.1,Belgium
BE,2020,3764.09,80.8,Belgium
BG,2011,864.64,74.2,Bulgaria
BG,2012,939.06,74.4,Bulgaria
BG,2013,908.95,74.9,Bulgaria
BG,2014,1030.03,74.5,Bulgaria
BG,2015,1052.09,74.7,Bulgaria
BG,2016,1130.96,74.9,Bulgaria
BG,2017,1191.83,74.8,Bulgaria
BG,2018,1232.44,75.0,Bulgaria
BG,2019,1271.92,75.1,Bulgaria
BG,2020,1477.92,73.6,Bulgaria
CH,2010,3879.94,82.7,Switzerland
CH,2011,3997.68,82.8,Switzerland
CH,2012,4160.07,82.8,Switzerland
CH,2013,4344.24,82.9,Switzerland
CH,2014,4504.87,83.3,Switzerland
CH,2015,4735.17,83.0,Switzerland
CH,2016,4817.22,83.7,Switzerland
CH,2017,4834.72,83.7,Switzerland
CH,2018,4834.25,83.8,Switzerland
CH,2019,4917.63,84.0,Switzerland
CH,2020,4997.35,83.1,Switzerland
CY,2010,1581.76,81.5,Cyprus
CY,2011,1537.4,81.2,Cyprus
CY,2012,1487.64,81.1,Cyprus
CY,2013,1479.17,82.5,Cyprus
CY,2014,1483.53,82.3,Cyprus
CY,2015,1527.13,81.8,Cyprus
CY,2016,1618.53,82.7,Cyprus
CY,2017,1700.59,82.2,Cyprus
CY,2018,1824.15,82.9,Cyprus
CY,2019,1924.99,82.3,Cyprus
CY,2020,2064.96,82.4,Cyprus
CZ,2013,1795.61,78.3,Czechia
CZ,2014,1875.92,78.9,Czechia
CZ,2015,1863.69,78.7,Czechia
CZ,2016,1889.92,79.1,Czechia
CZ,2017,2090.88,79.1,Czechia
CZ,2018,2182.18,79.1,Czechia
CZ,2019,2317.87,79.3,Czechia
CZ,2020,2648.95,78.3,Czechia
DE,2010,3310.54,80.5,Germany
DE,2011,3471.02,80.6,Germany
DE,2012,3547.27,80.7,Germany
DE,2013,3631.26,80.6,Germany
DE,2014,3768.29,81.2,Germany
DE,2015,3878.42,80.7,Germany
DE,2016,4011.31,81.0,Germany
DE,2017,4203.61,81.1,Germany
DE,2018,4381.68,81.0,Germany
DE,2019,4539.02,81.3,Germany
DE,2020,4830.59,81.1,Germany
DK,2010,3257.21,79.3,Denmark
DK,2011,3248.68,79.9,Denmark
DK,2012,3313.94,80.2,Denmark
DK,2013,3318.85,80.4,Denmark
DK,2014,3362.9,80.7,Denmark
DK,2015,3461.54,80.8,Denmark
DK,2016,3467.81,80.9,Denmark
DK,2017,3600.07,81.1,Denmark
DK,2018,3701.48,81.0,Denmark
DK,2019,3796.57,81.5,Denmark
DK,2020,3963.64,81.6,Denmark
EE,2010,1039.51,76.0,Estonia
EE,2011,1066.89,76.6,Estonia
EE,2012,1132.52,76.7,Estonia
EE,2013,1199.81,77.5,Estonia
EE,2014,1332.17,77.4,Estonia
EE,2015,1421.02,78.0,Estonia
EE,2016,1483.47,78.0,Estonia
EE,2017,1550.07,78.4,Estonia
EE,2018,1648.97,78.5,Estonia
EE,2019,1737.07,79.0,Estonia
EE,2020,1899.95,78.9,Estonia
EL,2010,1987.24,80.6,Greece
EL,2011,1740.26,80.8,Greece
EL,2012,1603.79,80.7,Greece
EL,2013,1531.11,81.4,Greece
EL,2014,1471.05,81.5,Greece
EL,2015,1554.69,81.1,Greece
