sex,geo,TIME_PERIOD,OBS_VALUE
F,AL,2009,
F,AL,2010,
F,AL,2011,
F,AL,2012,
F,AL,2013,
F,AL,2014,
F,AL,2015,
F,AL,2016,
F,AL,2017,
F,AL,2018,
F,AL,2019,
F,AL,2020,
F,AT,2009,83.2
F,AT,2010,83.5
F,AT,2011,83.8
F,AT,2012,83.6
F,AT,2013,83.8
F,AT,2014,84.0
F,AT,2015,83.7
F,AT,2016,84.1
F,AT,2017,84.0
F,AT,2018,84.1
F,AT,2019,84.2
F,AT,2020,83.6
F,BE,2009,82.8
F,BE,2010,83.0
F,BE,2011,83.3
F,BE,2012,83.1
F,BE,2013,83.2
F,BE,2014,83.9
F,BE,2015,83.4
F,BE,2016,84.0
F,BE,2017,83.9
F,BE,2018,83.9
F,BE,2019,84.3
F,BE,2020,83.0
F,BG,2009,77.4
F,BG,2010,77.4
F,BG,2011,77.8
F,BG,2012,77.9
F,BG,2013,78.6
F,BG,2014,78.0
F,BG,2015,78.2
F,BG,2016,78.5
F,BG,2017,78.4
F,BG,2018,78.6
F,BG,2019,78.8
F,BG,2020,77.5
F,CH,2009,84.6
F,CH,2010,84.9
F,CH,2011,85.0
F,CH,2012,84.9
F,CH,2013,85.0
F,CH,2014,85.4
F,CH,2015,85.1
F,CH,2016,85.6
F,CH,2017,85.6
F,CH,2018,85.7
F,CH,2019,85.8
F,CH,2020,85.1
F,CY,2009,83.5
F,CY,2010,83.9
F,CY,2011,83.1
F,CY,2012,83.4
F,CY,2013,85.0
F,CY,2014,84.3
F,CY,2015,83.7
F,CY,2016,84.9
F,CY,2017,84.2
F,CY,2018,84.8
F,CY,2019,84.4
F,CY,2020,84.4
F,CZ,2009,80.5
F,CZ,2010,80.9
F,CZ,2011,81.1
F,CZ,2012,81.2
F,CZ,2013,81.3
F,CZ,2014,82.0
F,CZ,2015,81.6
F,CZ,2016,82.1
F,CZ,2017,82.0
F,CZ,2018,82.0
F,CZ,2019,82.2
F,CZ,2020,81.3
F,DE,2009,82.8
F,DE,2010,83.0
F,DE,2011,83.1
F,DE,2012,83.1
F,DE,2013,83.0
F,DE,2014,83.6
F,DE,2015,83.1
F,DE,2016,83.5
F,DE,2017,83.4
F,DE,2018,83.3
F,DE,2019,83.7
F,DE,2020,83.5
F,DK,2009,81.1
F,DK,2010,81.4
F,DK,2011,81.9
F,DK,2012,82.1
F,DK,2013,82.4
F,DK,2014,82.8
F,DK,2015,82.7
F,DK,2016,82.8
F,DK,2017,83.1
F,DK,2018,82.9
F,DK,2019,83.5
F,DK,2020,83.6
F,EE,2009,80.3
F,EE,2010,80.8
F,EE,2011,81.3
F,EE,2012,81.5
F,EE,2013,81.7
F,EE,2014,81.9
F,EE,2015,82.2
F,EE,2016,82.2
F,EE,2017,82.6
F,EE,2018,82.7
F,EE,2019,83.0
F,EE,2020,83.0
F,EL,2009,83.3
F,EL,2010,83.3
F,EL,2011,83.6
F,EL,2012,83.4
F,EL,2013,84.0
F,EL,2014,84.1
F,EL,2015,83.7
F,EL,2016,84.0
F,EL,2017,83.9
F,EL,2018,84.4
F,EL,2019,84.2
F,EL,2020,83.9
F,ES,2009,85.0
F,ES,2010,85.5
F,ES,2011,85.6
F,ES,2012,85.5
F,ES,2013,86.1
F,ES,2014,86.2
F,ES,2015,85.7
F,ES,2016,86.3
F,ES,2017,86.1
F,ES,2018,86.3
F,ES,2019,86.7
F,ES,2020,85.2
F,FI,2009,83.5
F,FI,2010,83.5
F,FI,2011,83.8
F,FI,2012,83.7
F,FI,2013,
F,FI,2014,84.1
F,FI,2015,84.4
F,FI,2016,84.4
F,FI,2017,84.5
F,FI,2018,84.5
F,FI,2019,84.8
F,FI,2020,84.8
F,FR,2009,85.0
F,FR,2010,85.3
F,FR,2011,85.7
F,FR,2012,85.4
F,FR,2013,85.6
F,FR,2014,86.1
F,FR,2015,85.6
F,FR,2016,85.7
F,FR,2017,85.7
F,FR,2018,85.8
F,FR,2019,85.9
F,FR,2020,85.3
F,HR,2009,79.7
F,HR,2010,79.9
F,HR,2011,80.4
F,HR,2012,80.6
F,HR,2013,81.0
F,HR,2014,81.0
F,HR,2015,80.5
F,HR,2016,81.3
F,HR,2017,81.0
F,HR,2018,81.5
F,HR,2019,81.6
F,HR,2020,80.9
F,HU,2009,78.4
F,HU,2010,78.6
F,HU,2011,78.7
F,HU,2012,78.7
F,HU,2013,79.1
F,HU,2014,79.4
F,HU,2015,79.0
F,HU,2016,79.7
F,HU,2017,79.3
F,HU,2018,79.6
F,HU,2019,79.7
F,HU,2020,79.0
F,IE,2009,82.7
F,IE,2010,83.1
F,IE,2011,83.0
F,IE,2012,83.1
F,IE,2013,83.1
F,IE,2014,83.5
F,IE,2015,83.4
F,IE,2016,83.6
F,IE,2017,84.0
F,IE,2018,84.1
F,IE,2019,84.7
F,IE,2020,84.4
F,IS,2009,83.8
F,IS,2010,84.1
F,IS,2011,84.1
F,IS,2012,84.3
F,IS,2013,83.7
F,IS,2014,84.5
F,IS,2015,83.8
F,IS,2016,84.1
F,IS,2017,84.3
F,IS,2018,84.5
F,IS,2019,84.7
F,IS,2020,84.6
F,IT,2009,84.3
F,IT,2010,
F,IT,2011,84.8
F,IT,2012,84.8
F,IT,2013,85.2
F,IT,2014,85.6
F,IT,2015,84.9
