geo,TIME_PERIOD,OBS_VALUE
AL,2010,
AL,2011,
AL,2012,
AL,2013,77.9
AL,2014,78.2
AL,2015,77.9
AL,2016,78.5
AL,2017,78.5
AL,2018,78.9
AL,2019,79.1
AL,2020,77.4
AL,2021,
AM,2010,
AM,2011,
AM,2012,
AM,2013,
AM,2014,
AM,2015,75.1
AM,2016,75.1
AM,2017,75.8
AM,2018,76.7
AM,2019,76.6
AM,2020,
AM,2021,
AT,2010,80.7
AT,2011,81.1
AT,2012,81.1
AT,2013,81.3
AT,2014,81.6
AT,2015,81.3
AT,2016,81.8
AT,2017,81.7
AT,2018,81.8
AT,2019,82.0
AT,2020,81.3
AT,2021,81.3
AZ,2010,73.6
AZ,2011,
AZ,2012,74.1
AZ,2013,74.7
AZ,2014,74.8
AZ,2015,75.3
AZ,2016,
AZ,2017,75.6
AZ,2018,76.0
AZ,2019,76.6
AZ,2020,
AZ,2021,
BE,2010,80.3
BE,2011,80.7
BE,2012,80.5
BE,2013,80.7
BE,2014,81.4
BE,2015,81.1
BE,2016,81.5
BE,2017,81.6
BE,2018,81.7
BE,2019,82.1
BE,2020,80.8
BE,2021,81.9
BG,2010,73.8
BG,2011,74.2
BG,2012,74.4
BG,2013,74.9
BG,2014,74.5
BG,2015,74.7
BG,2016,74.9
BG,2017,74.8
BG,2018,75.0
BG,2019,75.1
BG,2020,73.6
BG,2021,71.4
BY,2010,
BY,2011,70.7
BY,2012,72.3
BY,2013,72.7
BY,2014,73.3
BY,2015,74.0
BY,2016,74.2
BY,2017,74.5
BY,2018,74.5
BY,2019,
BY,2020,
BY,2021,
CH,2010,82.7
CH,2011,82.8
CH,2012,82.8
CH,2013,82.9
CH,2014,83.3
CH,2015,83.0
CH,2016,83.7
CH,2017,83.7
CH,2018,83.8
CH,2019,84.0
CH,2020,83.1
CH,2021,84.0
CY,2010,81.5
CY,2011,81.2
CY,2012,81.1
CY,2013,82.5
CY,2014,82.3
CY,2015,81.8
CY,2016,82.7
CY,2017,82.2
CY,2018,82.9
CY,2019,82.3
CY,2020,82.4
CY,2021,81.8
CZ,2010,77.7
CZ,2011,78.0
CZ,2012,78.1
CZ,2013,78.3
CZ,2014,78.9
CZ,2015,78.7
CZ,2016,79.1
CZ,2017,79.1
CZ,2018,79.1
CZ,2019,79.3
CZ,2020,78.3
CZ,2021,77.4
DE,2010,80.5
DE,2011,80.6
DE,2012,80.7
DE,2013,80.6
DE,2014,81.2
DE,2015,80.7
DE,2016,81.0
DE,2017,81.1
DE,2018,81.0
DE,2019,81.3
DE,2020,81.1
DE,2021,80.9
DK,2010,79.3
DK,2011,79.9
DK,2012,80.2
DK,2013,80.4
DK,2014,80.7
DK,2015,80.8
DK,2016,80.9
DK,2017,81.1
DK,2018,81.0
DK,2019,81.5
DK,2020,81.6
DK,2021,81.4
EE,2010,76.0
EE,2011,76.6
EE,2012,76.7
EE,2013,77.5
EE,2014,77.4
EE,2015,78.0
EE,2016,78.0
EE,2017,78.4
EE,2018,78.5
EE,2019,79.0
EE,2020,78.9
EE,2021,76.9
EL,2010,80.6
EL,2011,80.8
EL,2012,80.7
EL,2013,81.4
EL,2014,81.5
EL,2015,81.1
EL,2016,81.5
EL,2017,81.4
EL,2018,81.9
EL,2019,81.7
EL,2020,81.4
EL,2021,80.3
ES,2010,82.4
ES,2011,82.6
ES,2012,82.5
ES,2013,83.2
ES,2014,83.3
ES,2015,83.0
ES,2016,83.5
ES,2017,83.4
ES,2018,83.5
ES,2019,84.0
ES,2020,82.4
ES,2021,83.3
FI,2010,80.2
FI,2011,80.6
FI,2012,80.7
FI,2013,81.1
FI,2014,81.3
FI,2015,81.6
FI,2016,81.5
FI,2017,81.7
FI,2018,81.8
FI,2019,82.1
FI,2020,82.0
FI,2021,82.0
FR,2010,81.8
FR,2011,82.3
FR,2012,82.1
FR,2013,82.4
FR,2014,82.9
FR,2015,82.4
FR,2016,82.7
FR,2017,82.7
FR,2018,82.8
FR,2019,83.0
FR,2020,82.3
FR,2021,82.5
GE,2010,74.5
GE,2011,74.5
GE,2012,
GE,2013,
GE,2014,74.1
GE,2015,73.0
GE,2016,72.7
GE,2017,73.5
GE,2018,74.0
GE,2019,74.1
GE,2020,
GE,2021,
HR,2010,76.7
HR,2011,77.2
HR,2012,77.3
HR,2013,77.8
HR,2014,77.9
HR,2015,77.5
HR,2016,78.2
HR,2017,78.0
HR,2018,78.2
HR,2019,78.6
HR,2020,77.8
HR,2021,76.8
HU,2010,74.7
HU,2011,75.1
HU,2012,75.3
HU,2013,75.8
HU,2014,76.0
HU,2015,75.7
HU,2016,76.2
HU,2017,76.0
HU,2018,76.2
HU,2019,76.5
HU,2020,75.7
HU,2021,74.5
IE,2010,80.8
IE,2011,80.9
IE,2012,80.9
IE,2013,81.0
IE,2014,81.4
IE,2015,81.5
IE,2016,81.7
IE,2017,82.2
IE,2018,82.2
IE,2019,82.8
IE,2020,82.6
IE,2021,
IS,2010,81.9
IS,2011,82.4
IS,2012,83.0
IS,2013,82.1
IS,2014,82.9
IS,2015,82.5
IS,2016,82.2
IS,2017,82.6
IS,2018,82.9
IS,2019,83.2
IS,2020,83.1
IS,2021,83.2
IT,2010,82.2
IT,2011,82.4
IT,2012,82.4
IT,2013,82.9
IT,2014,83.2
IT,2015,82.7
IT,2016,83.4
IT,2017,83.1
IT,2018,83.4
IT,2019,83.6
IT,2020,82.3
IT,2021,82.9
LI,2010,81.8
