country,LocCode,time_period,dpt,measles,tetanus,co2_metric_tons_per_capita,sf6_metric_tons,nitrous_oxide_metric_tons,hfc_metric_tons,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",life_expectancy_total,life_expectancy_female,life_expectancy_male,alcohol,tobacco,working_hours,bmi_over30,pm2_5,polio,bcg,hepb
Albania,ALB,2000,97,95,86,1.026213108529,0,1180,15.5,6.57,75.404,78.419,72.646,3.92 ,10.9,0.0,11.7 ,0,0.0,93.0,96.0
Austria,AUT,2000,81,75,0,7.92978551259517,294.4,4660,1018.4,13.12,78.1268292682927,81.2,75.2,13.35 ,47.8,1542.0,13.5 ,0,0.0,0.0,33.0
Belgium,BEL,2000,95,82,0,11.4395805389587,131.7,7680,997.7,12.49,77.7219512195122,81,74.6,11.21 ,27.7,1459.0,16.3 ,0,0.0,0.0,60.0
Bulgaria,BGR,2000,93,89,0,5.31445360024244,0,3710,103.1,11.8,71.6634146341463,75.3,68.2,10.26 ,35.8,0.0,17.1 ,0,0.0,98.0,94.0
Croatia,HRV,2000,93,93,0,4.03732782609591,0,2390,16.3,12.45,72.8078048780488,76.68,69.12,13.24 ,27.1,0.0,15.7 ,0,0.0,98.0,0.0
Cyprus,CYP,2000,97,86,0,7.51921724210298,0,360,78.4,10.86,76.568,78.552,74.601,9.56 ,21.1,0.0,15 ,0,0.0,0.0,89.0
Czechia,CZE,2000,98,97,0,12.0106526893106,13,5530,399.5,15,74.9682926829268,78.4,71.7,13.9 ,28.2,0.0,19.4 ,0,0.0,98.0,0.0
Denmark,DNK,2000,97,99,0,9.85089564493027,81.4,6440,662.2,12.67,76.5926829268293,79,74.3,11.68 ,34.1,1421.21421889983,13.2 ,0,0.0,0.0,0.0
Estonia,EST,2000,93,93,0,10.6801433086254,2,1220,7.8,9.57,70.4170731707317,76,65.1,9.03 ,30.1,1836.0,14.3 ,0,0.0,99.0,0.0
Finland,FIN,2000,99,96,0,10.6448561099446,113.9,5960,378.2,11.69,77.4658536585366,81,74.1,8.88 ,24.7,1571.0,16.1 ,0,0.0,99.0,0.0
France,FRA,2000,97,84,0,6.12461463449353,2428.5,49090,9406.4,14.08,79.0560975609756,83,75.3,13.92 ,29.8,1443.93132198728,14.8 ,0,0.0,83.0,26.0
Germany,DEU,2000,90,92,0,10.0993160227641,5580.4,43660,11277.6,14.16,77.9268292682927,81,75,12.91 ,31.6,1377.06908059403,15.8 ,0,0.0,0.0,84.0
Greece,GRC,2000,89,89,0,8.74159526062281,131.8,6390,2368.4,10.18,77.8878048780488,80.5,75.4,8.6 ,43.8,1767.41684139173,16 ,0,0.0,0.0,89.0
Hungary,HUN,2000,99,99,0,5.35012781840238,25.2,6940,428.2,14.27,71.2463414634146,75.6,67.1,12.23 ,31.6,1774.78819826745,19.1 ,0,0.0,99.0,0.0
Iceland,ISL,2000,98,91,0,7.93015771412315,17.9,380,22.3,7.03,79.6536585365854,81.6,77.8,6.14 ,27.6,1696.0,15.7 ,0,0.0,0.0,0.0
Ireland,IRL,2000,86,79,0,11.1768870490548,76.5,10610,416.3,15.13,76.5365853658537,79.2,74,13.84 ,35.2,1874.86535398871,15.4 ,0,0.0,89.0,0.0
Italy,ITA,2000,87,74,0,7.66216803916005,1268.5,26670,7099.5,10.37,79.7780487804878,82.8,76.9,9.78 ,19.7,1850.2,14 ,0,0.0,0.0,94.0
Latvia,LVA,2000,96,97,0,2.92707651369559,0,1440,190,8.76,70.3146341463415,76,64.9,7.13 ,26.3,1829.90733986352,15 ,0,0.0,99.0,95.0
Lithuania,LTU,2000,94,97,0,3.00325528870113,0,4680,164.5,13.36,72.0195121951219,77.5,66.8,9.87 ,24.8,1627.17868657037,17.3 ,0,0.0,99.0,98.0
Luxembourg,LUX,2000,99,93,0,19.6195278478111,0,260,51.1,14.32,77.8731707317073,81.1,74.8,13.21 ,25.5,1605.0,15.7 ,0,0.0,0.0,77.0
Malta,MLT,2000,94,74,0,5.46032039006683,0,60,50,5.72,78.3487804878049,80.5,76.3,5.94 ,26.4,0.0,21.2 ,0,0.0,0.0,0.0
Netherlands,NLD,2000,97,96,0,10.1786360037507,283,14320,6200.4,11.08,77.9878048780488,80.6,75.5,10.13 ,31.7,1403.0,12 ,0,0.0,0.0,0.0
North Macedonia,MKD,2000,95,97,0,4.32304389666148,0,690,51.8,7.31,72.9463414634147,75.2,70.8,0,0.0,0.0,0,0,0.0,0.0,0.0
Norway,NOR,2000,90,88,0,7.63532664568678,983.2,4720,162.3,7.95,78.6341463414634,81.4,76,5.67 ,43.3,1448.1,15 ,0,0.0,0.0,0.0
Poland,POL,2000,98,97,0,7.73080499042451,189.8,22970,667.2,9.17,73.7487804878049,78,69.7,8.4 ,33.6,1775.49451032424,16 ,0,0.0,96.0,99.0
Portugal,PRT,2000,96,87,0,5.99228486035527,128,4000,352.7,14.08,76.3146341463415,79.9,72.9,12.77 ,14.9,1714.92782418074,12 ,0,0.0,82.0,58.0
Romania,ROU,2000,99,98,0,3.96649801846645,2,10520,118.2,17.45,71.1634146341463,74.8,67.7,9 ,23.3,0.0,15 ,0,0.0,99.0,98.0
Serbia,SRB,2000,95,89,0,5.85257783502782,0,3750,1662,0,71.5829268292683,74.4,68.9,0,39.1,0.0,13.7 ,0,0.0,85.0,0.0
Slovak Republic,SVK,2000,99,98,0,7.06475749343072,0,2570,109.3,12.47,73.0512195121951,77.2,69.1,0,0.0,1737.95501655304,0,0,0.0,0.0,0.0
Slovenia,SVN,2000,91,95,0,7.31048179292834,2,860,144.1,12.6,75.4121951219512,79.1,71.9,12.8 ,23.1,1606.0,13 ,0,0.0,98.0,0.0
Spain,ESP,2000,95,94,0,7.23010706208244,2456.5,23760,3296.8,12.43,78.9658536585366,82.5,75.6,11.61 ,29.0,1705.0,17.3 ,0,0.0,0.0,77.0
Sweden,SWE,2000,99,91,0,6.00533649890911,194,5840,568.8,8.53,79.6439024390244,82,77.4,6.2 ,38.9,1485.59549958848,13.9 ,0,0.0,16.0,0.0
Switzerland,CHE,2000,93,82,0,6.08414239482201,293.1,2550,848.2,12.49,79.6804878048781,82.6,76.9,11.26 ,23.7,1712.7,12.8 ,0,0.0,0.0,0.0
Turkiye,TUR,2000,85,87,50,3.37526170561114,989.2,26520,994.4,2.41,71.861,75.274,68.582,0,0.0,0.0,0,0,0.0,0.0,0.0
United Kingdom,GBR,2000,91,88,0,9.01455828494603,1154.1,36050,6332.5,13.73,77.7414634146342,80.2,75.4,0,0.0,1516.78665886216,0,0,0.0,0.0,0.0
Albania,ALB,2001,97,95,83,1.05549588209555,0,1140,0,0,75.639,78.618,72.921,4.51 ,0.0,0.0,12.1 ,0,0.0,93.0,96.0
Austria,AUT,2001,84,79,0,8.44410916140459,0,4550,0,0,78.5756097560976,81.7,75.6,12.35 ,0.0,1534.0,13.8 ,0,0.0,0.0,44.0
Belgium,BEL,2001,95,82,0,11.5043206822099,0,7470,0,0,77.9731707317073,81.2,74.9,11.01 ,0.0,1454.0,16.7 ,0,0.0,0.0,60.0
Bulgaria,BGR,2001,94,90,0,5.76715957839179,0,3920,0,0,71.7682926829268,75.2,68.5,11.07 ,0.0,0.0,17.6 ,0,0.0,98.0,93.0
Croatia,HRV,2001,94,94,0,4.46548805691265,0,2210,0,0,74.5129268292683,78.17,71.03,13.69 ,0.0,0.0,16.1 ,0,0.0,97.0,0.0
Cyprus,CYP,2001,97,86,0,7.24479960200243,0,380,0,0,76.989,79.02,74.977,10.16 ,0.0,0.0,15.5 ,0,0.0,0.0,89.0
Czechia,CZE,2001,98,97,0,12.0118180158673,0,5870,0,0,75.1731707317073,78.4,72.1,13.64 ,0.0,0.0,19.8 ,0,0.0,98.0,0.0
Denmark,DNK,2001,97,94,0,10.1235672353219,0,6260,0,0,76.7926829268293,79.2,74.5,11.54 ,0.0,1426.84311323121,13.4 ,0,0.0,0.0,0.0
Estonia,EST,2001,94,95,0,11.0797736498777,0,1200,0,0,70.2585365853659,76.2,64.6,10.1 ,0.0,1838.0,14.6 ,0,0.0,99.0,0.0
Finland,FIN,2001,98,96,0,11.7752324206131,0,5860,0,0,77.9658536585366,81.5,74.6,8.94 ,0.0,1561.0,16.4 ,0,0.0,99.0,0.0
France,FRA,2001,97,85,0,6.13892838326441,0,49840,0,0,79.1585365853659,83,75.5,14.15 ,0.0,1427.98681597296,15.2 ,0,0.0,84.0,28.0
Germany,DEU,2001,93,94,0,10.2936341472078,0,45320,0,0,78.3292682926829,81.3,75.5,12.46 ,0.0,1371.72532931458,16.1 ,0,0.0,0.0,86.0
Greece,GRC,2001,91,91,0,8.89420235364475,0,6120,0,0,78.3878048780488,81,75.9,8.75 ,0.0,1764.79118610967,16.5 ,0,0.0,0.0,90.0
Hungary,HUN,2001,99,99,0,5.52437596539157,0,7460,0,0,72.2487804878049,76.5,68.2,13.18 ,0.0,1755.32892408495,19.5 ,0,0.0,99.0,0.0
Iceland,ISL,2001,92,88,0,7.57979843350832,0,350,0,0,80.690243902439,83.2,78.3,6.32 ,0.0,1707.0,15.9 ,0,0.0,0.0,0.0
Ireland,IRL,2001,84,73,0,11.5926495049587,0,10380,0,0,77.1341463414634,79.9,74.5,14.04 ,0.0,1865.94477531132,15.9 ,0,0.0,89.0,0.0
Italy,ITA,2001,93,77,0,7.66260458699655,0,25550,0,0,80.1268292682927,83.2,77.2,9.68 ,0.0,1837.6,14.4 ,0,0.0,0.0,95.0
Latvia,LVA,2001,97,98,0,3.14910768151226,0,1520,0,0,70.7609756097561,76.6,65.2,6.68 ,0.0,1835.57058233367,15.4 ,0,0.0,99.0,96.0
Lithuania,LTU,2001,95,97,0,3.21249918607083,0,4740,0,0,71.6585365853659,77.6,66,10.2 ,0.0,1616.66733830664,17.6 ,0,0.0,99.0,95.0
Luxembourg,LUX,2001,99,94,0,20.6556820112111,0,260,0,0,77.8243902439025,81,74.8,13.1 ,0.0,1591.84952255009,16 ,0,0.0,0.0,86.0
Malta,MLT,2001,95,70,0,6.33542648360931,0,60,0,0,78.8439024390244,81.2,76.6,5.99 ,0.0,0.0,21.7 ,0,0.0,0.0,0.0
Netherlands,NLD,2001,97,95,0,10.414939879772,0,13680,0,0,78.190243902439,80.7,75.8,9.82 ,0.0,1398.0,12.4 ,0,0.0,0.0,0.0
North Macedonia,MKD,2001,91,92,0,4.38354656437081,0,620,0,0,73.4365853658537,76.1,70.9,0,0.0,0.0,0,0,0.0,0.0,0.0
Norway,NOR,2001,91,90,0,7.69205035900297,0,4650,0,0,78.7853658536585,81.5,76.2,5.49 ,0.0,1424.0,15.6 ,0,0.0,0.0,0.0
Poland,POL,2001,98,97,0,7.67698746467665,0,22800,0,0,74.2,78.4,70.2,7.74 ,0.0,1778.18197390385,16.4 ,0,0.0,95.0,95.0
Portugal,PRT,2001,97,90,0,5.92315416740891,0,3700,0,0,76.8146341463415,80.4,73.4,12.63 ,0.0,1705.54076235886,12.5 ,0,0.0,82.0,70.0
Romania,ROU,2001,99,98,0,4.30282527944869,0,10250,0,0,71.1609756097561,74.9,67.6,12.07 ,0.0,0.0,15.4 ,0,0.0,99.0,98.0
Serbia,SRB,2001,93,90,0,5.99725485654366,0,4280,0,0,72.2341463414634,75,69.6,0,0.0,0.0,14.1 ,0,0.0,88.0,0.0
Slovak Republic,SVK,2001,99,99,0,7.17251421163602,0,2760,0,0,73.4024390243903,77.5,69.5,0,0.0,1722.45725968506,0,0,0.0,0.0,0.0
Slovenia,SVN,2001,92,94,0,7.7206509844081,0,870,0,0,75.7585365853659,79.6,72.1,11.58 ,0.0,1584.0,13.4 ,0,0.0,98.0,0.0
Spain,ESP,2001,96,96,0,7.21632868721128,0,23370,0,0,79.3682926829268,82.8,76.1,12.01 ,0.0,1714.0,17.7 ,0,0.0,0.0,83.0
Sweden,SWE,2001,99,94,0,5.90155531274871,0,5560,0,0,79.7951219512195,82.1,77.6,6.5 ,0.0,1464.50008655287,14.1 ,0,0.0,16.0,0.0
Switzerland,CHE,2001,93,82,0,6.24493938605123,0,2590,0,0,80.1804878048781,83.1,77.4,11.12 ,0.0,1672.8,13.1 ,0,0.0,0.0,0.0
Turkiye,TUR,2001,88,91,52,3.03924799135628,0,23950,0,0,72.231,75.623,68.957,0,0.0,0.0,0,0,0.0,0.0,0.0
United Kingdom,GBR,2001,91,85,0,9.22298741402037,0,34650,0,0,77.9926829268293,80.4,75.7,0,0.0,1519.49520646727,0,0,0.0,0.0,0.0
Albania,ALB,2002,98,96,80,1.23237878291558,0,1290,0,0,75.89,78.823,73.22,3.96 ,0.0,0.0,12.6 ,0,0.0,94.0,96.0
Austria,AUT,2002,83,78,0,8.58331747454014,0,4470,0,0,78.6780487804878,81.7,75.8,12.09 ,0.0,1530.0,14.1 ,0,0.0,0.0,81.0
Belgium,BEL,2002,95,82,0,10.7279884826909,0,7960,0,0,78.0756097560976,81.2,75.1,11.29 ,0.0,1460.0,17.1 ,0,0.0,0.0,60.0
Bulgaria,BGR,2002,93,92,0,5.5632388404578,0,4330,0,0,71.8658536585366,75.4,68.5,10.8 ,0.0,0.0,18.1 ,0,0.0,98.0,88.0
Croatia,HRV,2002,95,95,0,4.71389597134972,0,2400,0,0,74.7173170731707,78.4,71.21,13.88 ,0.0,0.0,16.6 ,0,0.0,99.0,0.0
Cyprus,CYP,2002,98,86,0,7.29998358399048,0,400,0,0,77.487,79.635,75.37,11.68 ,0.0,0.0,15.9 ,0,0.0,0.0,88.0
Czechia,CZE,2002,98,98,0,11.6241026972564,0,4900,0,0,75.2219512195122,78.5,72.1,13.77 ,0.0,0.0,20.2 ,0,0.0,97.0,86.0
Denmark,DNK,2002,98,95,0,10.0150095216229,0,6100,0,0,76.8951219512195,79.2,74.7,11.32 ,0.0,1416.61268669663,13.7 ,0,0.0,0.0,0.0
Estonia,EST,2002,94,95,0,10.8384382566173,0,1190,0,0,70.9048780487805,77,65.1,12.16 ,0.0,1837.0,15 ,0,0.0,99.0,0.0
Finland,FIN,2002,98,96,0,12.1985968972624,0,6050,0,0,78.119512195122,81.5,74.9,9.25 ,0.0,1556.0,16.7 ,0,0.0,99.0,0.0
France,FRA,2002,97,86,0,6.00198305535196,0,47360,0,0,79.2609756097561,83,75.7,13.92 ,0.0,1399.15586925468,15.6 ,0,0.0,85.0,29.0
Germany,DEU,2002,93,94,0,10.1029847239038,0,45120,0,0,78.2292682926829,81.2,75.4,12.25 ,0.0,1364.22814852264,16.3 ,0,0.0,0.0,87.0
Greece,GRC,2002,92,92,0,8.8607414729232,0,6160,0,0,78.6414634146341,81.1,76.3,8.22 ,0.0,1759.73298788597,16.9 ,0,0.0,0.0,91.0
Hungary,HUN,2002,99,99,0,5.47319066491404,0,6370,0,0,72.3487804878049,76.6,68.3,13.28 ,0.0,1741.71005818039,20 ,0,0.0,99.0,0.0
Iceland,ISL,2002,95,91,0,7.79068112650724,0,360,0,0,80.5024390243903,82.5,78.6,6.53 ,0.0,1672.0,16.2 ,0,0.0,0.0,0.0
Ireland,IRL,2002,83,73,0,11.1725820071267,0,10680,0,0,77.6341463414634,80.4,75,13.95 ,0.0,1843.71469701124,16.5 ,0,0.0,90.0,0.0
Italy,ITA,2002,93,81,0,7.77212966956651,0,26310,0,0,80.2292682926829,83.2,77.4,9.25 ,0.0,1826.2,14.7 ,0,0.0,0.0,95.0
Latvia,LVA,2002,97,98,0,3.18157986637043,0,1520,0,0,70.9609756097561,76.8,65.4,7.44 ,0.0,1825.2802530365,15.7 ,0,0.0,99.0,98.0
Lithuania,LTU,2002,95,98,0,3.25872260604537,0,4990,0,0,71.7609756097561,77.6,66.2,11 ,0.0,1596.19428677208,18 ,0,0.0,99.0,94.0
Luxembourg,LUX,2002,99,94,0,22.0093005991466,0,340,0,0,77.9658536585366,81.5,74.6,12.88 ,0.0,1588.85237330545,16.3 ,0,0.0,0.0,95.0
Malta,MLT,2002,95,65,0,5.85904435257003,0,60,0,0,78.7390243902439,81.3,76.3,6.12 ,0.0,0.0,22.2 ,0,0.0,0.0,0.0
Netherlands,NLD,2002,97,95,0,10.3678697624951,0,13140,0,0,78.2926829268293,80.7,76,9.72 ,0.0,1385.0,13 ,0,0.0,0.0,0.0
North Macedonia,MKD,2002,96,98,0,4.14324227550585,0,580,0,0,73.0390243902439,75.6,70.6,0,0.0,0.0,0,0,0.0,0.0,0.0
