geo,geo_label,time_period,obs_value,geo_country,country
AL01,Veri,2009,0.0,AL,Albania
AL01,Veri,2010,0.0,AL,Albania
AL01,Veri,2011,0.0,AL,Albania
AL01,Veri,2012,0.0,AL,Albania
AL01,Veri,2013,0.0,AL,Albania
AL01,Veri,2014,0.0,AL,Albania
AL01,Veri,2015,0.0,AL,Albania
AL01,Veri,2016,0.0,AL,Albania
AL01,Veri,2017,0.0,AL,Albania
AL01,Veri,2018,0.0,AL,Albania
AL02,Qender,2009,0.0,AL,Albania
AL02,Qender,2010,0.0,AL,Albania
AL02,Qender,2011,0.0,AL,Albania
AL02,Qender,2012,0.0,AL,Albania
AL02,Qender,2013,0.0,AL,Albania
AL02,Qender,2014,0.0,AL,Albania
AL02,Qender,2015,0.0,AL,Albania
AL02,Qender,2016,0.0,AL,Albania
AL02,Qender,2017,0.0,AL,Albania
AL02,Qender,2018,0.0,AL,Albania
AL03,Jug,2009,0.0,AL,Albania
AL03,Jug,2010,0.0,AL,Albania
AL03,Jug,2011,0.0,AL,Albania
AL03,Jug,2012,0.0,AL,Albania
AL03,Jug,2013,0.0,AL,Albania
AL03,Jug,2014,0.0,AL,Albania
AL03,Jug,2015,0.0,AL,Albania
AL03,Jug,2016,0.0,AL,Albania
AL03,Jug,2017,0.0,AL,Albania
AL03,Jug,2018,0.0,AL,Albania
AT11,Burgenland (AT),2009,80.9,AT,Austria
AT11,Burgenland (AT),2010,80.9,AT,Austria
AT11,Burgenland (AT),2011,81.2,AT,Austria
AT11,Burgenland (AT),2012,80.6,AT,Austria
AT11,Burgenland (AT),2013,81.1,AT,Austria
AT11,Burgenland (AT),2014,81.4,AT,Austria
AT11,Burgenland (AT),2015,81.2,AT,Austria
AT11,Burgenland (AT),2016,81.4,AT,Austria
AT11,Burgenland (AT),2017,81.5,AT,Austria
AT11,Burgenland (AT),2018,81.5,AT,Austria
AT12,Niederösterreich,2009,80.1,AT,Austria
AT12,Niederösterreich,2010,80.5,AT,Austria
AT12,Niederösterreich,2011,80.8,AT,Austria
AT12,Niederösterreich,2012,80.6,AT,Austria
AT12,Niederösterreich,2013,81.0,AT,Austria
AT12,Niederösterreich,2014,81.3,AT,Austria
AT12,Niederösterreich,2015,81.0,AT,Austria
AT12,Niederösterreich,2016,81.4,AT,Austria
AT12,Niederösterreich,2017,81.6,AT,Austria
AT12,Niederösterreich,2018,81.5,AT,Austria
AT13,Wien,2009,79.4,AT,Austria
AT13,Wien,2010,79.6,AT,Austria
AT13,Wien,2011,80.1,AT,Austria
AT13,Wien,2012,80.1,AT,Austria
AT13,Wien,2013,80.1,AT,Austria
AT13,Wien,2014,80.5,AT,Austria
AT13,Wien,2015,80.4,AT,Austria
AT13,Wien,2016,80.9,AT,Austria
AT13,Wien,2017,80.8,AT,Austria
AT13,Wien,2018,80.6,AT,Austria
AT21,Kärnten,2009,80.8,AT,Austria
AT21,Kärnten,2010,81.0,AT,Austria
AT21,Kärnten,2011,81.4,AT,Austria
AT21,Kärnten,2012,81.2,AT,Austria
AT21,Kärnten,2013,81.7,AT,Austria
AT21,Kärnten,2014,81.8,AT,Austria
AT21,Kärnten,2015,81.4,AT,Austria
AT21,Kärnten,2016,81.8,AT,Austria
AT21,Kärnten,2017,81.9,AT,Austria
AT21,Kärnten,2018,81.6,AT,Austria
AT22,Steiermark,2009,80.6,AT,Austria
AT22,Steiermark,2010,81.0,AT,Austria
AT22,Steiermark,2011,81.4,AT,Austria
AT22,Steiermark,2012,81.5,AT,Austria
AT22,Steiermark,2013,81.8,AT,Austria
AT22,Steiermark,2014,82.0,AT,Austria
AT22,Steiermark,2015,81.3,AT,Austria
AT22,Steiermark,2016,82.1,AT,Austria
AT22,Steiermark,2017,81.8,AT,Austria
AT22,Steiermark,2018,82.2,AT,Austria
AT31,Oberösterreich,2009,80.8,AT,Austria
AT31,Oberösterreich,2010,81.0,AT,Austria
AT31,Oberösterreich,2011,81.5,AT,Austria
AT31,Oberösterreich,2012,81.5,AT,Austria
AT31,Oberösterreich,2013,81.4,AT,Austria
AT31,Oberösterreich,2014,82.0,AT,Austria
AT31,Oberösterreich,2015,81.5,AT,Austria
AT31,Oberösterreich,2016,82.2,AT,Austria
AT31,Oberösterreich,2017,82.0,AT,Austria
AT31,Oberösterreich,2018,82.2,AT,Austria
AT32,Salzburg,2009,81.4,AT,Austria
AT32,Salzburg,2010,81.6,AT,Austria
AT32,Salzburg,2011,81.9,AT,Austria
AT32,Salzburg,2012,82.1,AT,Austria
AT32,Salzburg,2013,82.2,AT,Austria
AT32,Salzburg,2014,82.6,AT,Austria
AT32,Salzburg,2015,82.4,AT,Austria
AT32,Salzburg,2016,82.7,AT,Austria
AT32,Salzburg,2017,82.4,AT,Austria
AT32,Salzburg,2018,82.9,AT,Austria
AT33,Tirol,2009,81.6,AT,Austria
AT33,Tirol,2010,81.9,AT,Austria
AT33,Tirol,2011,82.3,AT,Austria
AT33,Tirol,2012,82.2,AT,Austria
AT33,Tirol,2013,82.4,AT,Austria
AT33,Tirol,2014,82.8,AT,Austria
AT33,Tirol,2015,82.4,AT,Austria
AT33,Tirol,2016,82.8,AT,Austria
AT33,Tirol,2017,83.2,AT,Austria
AT33,Tirol,2018,83.0,AT,Austria
AT34,Vorarlberg,2009,81.7,AT,Austria
AT34,Vorarlberg,2010,82.0,AT,Austria
AT34,Vorarlberg,2011,82.5,AT,Austria
AT34,Vorarlberg,2012,82.2,AT,Austria
AT34,Vorarlberg,2013,82.3,AT,Austria
AT34,Vorarlberg,2014,83.1,AT,Austria
AT34,Vorarlberg,2015,82.4,AT,Austria
AT34,Vorarlberg,2016,82.7,AT,Austria
AT34,Vorarlberg,2017,82.4,AT,Austria
AT34,Vorarlberg,2018,82.9,AT,Austria
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2009,79.9,BE,Belgium
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2010,80.2,BE,Belgium
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2011,80.8,BE,Belgium
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2012,80.1,BE,Belgium
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2013,80.6,BE,Belgium
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2014,81.1,BE,Belgium
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2015,80.9,BE,Belgium
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2016,81.3,BE,Belgium
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2017,81.2,BE,Belgium
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,81.5,BE,Belgium
BE21,Prov. Antwerpen,2009,80.9,BE,Belgium
BE21,Prov. Antwerpen,2010,81.1,BE,Belgium
BE21,Prov. Antwerpen,2011,81.6,BE,Belgium
BE21,Prov. Antwerpen,2012,81.1,BE,Belgium
BE21,Prov. Antwerpen,2013,81.5,BE,Belgium
BE21,Prov. Antwerpen,2014,82.2,BE,Belgium
BE21,Prov. Antwerpen,2015,82.0,BE,Belgium
BE21,Prov. Antwerpen,2016,82.4,BE,Belgium
BE21,Prov. Antwerpen,2017,82.4,BE,Belgium
BE21,Prov. Antwerpen,2018,82.5,BE,Belgium
BE22,Prov. Limburg (BE),2009,81.2,BE,Belgium
BE22,Prov. Limburg (BE),2010,81.5,BE,Belgium
BE22,Prov. Limburg (BE),2011,81.7,BE,Belgium
BE22,Prov. Limburg (BE),2012,81.6,BE,Belgium
BE22,Prov. Limburg (BE),2013,82.1,BE,Belgium
BE22,Prov. Limburg (BE),2014,82.7,BE,Belgium
BE22,Prov. Limburg (BE),2015,82.5,BE,Belgium
BE22,Prov. Limburg (BE),2016,82.9,BE,Belgium
BE22,Prov. Limburg (BE),2017,83.1,BE,Belgium
BE22,Prov. Limburg (BE),2018,83.1,BE,Belgium
BE23,Prov. Oost-Vlaanderen,2009,80.4,BE,Belgium
BE23,Prov. Oost-Vlaanderen,2010,80.8,BE,Belgium
BE23,Prov. Oost-Vlaanderen,2011,81.0,BE,Belgium
BE23,Prov. Oost-Vlaanderen,2012,80.9,BE,Belgium
BE23,Prov. Oost-Vlaanderen,2013,81.1,BE,Belgium
BE23,Prov. Oost-Vlaanderen,2014,82.1,BE,Belgium
BE23,Prov. Oost-Vlaanderen,2015,81.5,BE,Belgium
BE23,Prov. Oost-Vlaanderen,2016,82.2,BE,Belgium
BE23,Prov. Oost-Vlaanderen,2017,82.2,BE,Belgium
BE23,Prov. Oost-Vlaanderen,2018,82.3,BE,Belgium
BE24,Prov. Vlaams-Brabant,2009,81.5,BE,Belgium
BE24,Prov. Vlaams-Brabant,2010,81.7,BE,Belgium
BE24,Prov. Vlaams-Brabant,2011,82.1,BE,Belgium
BE24,Prov. Vlaams-Brabant,2012,81.9,BE,Belgium
BE24,Prov. Vlaams-Brabant,2013,82.0,BE,Belgium
BE24,Prov. Vlaams-Brabant,2014,82.6,BE,Belgium
BE24,Prov. Vlaams-Brabant,2015,82.5,BE,Belgium
BE24,Prov. Vlaams-Brabant,2016,82.9,BE,Belgium
BE24,Prov. Vlaams-Brabant,2017,83.0,BE,Belgium
BE24,Prov. Vlaams-Brabant,2018,83.0,BE,Belgium
BE25,Prov. West-Vlaanderen,2009,80.9,BE,Belgium
BE25,Prov. West-Vlaanderen,2010,81.1,BE,Belgium
BE25,Prov. West-Vlaanderen,2011,81.6,BE,Belgium
BE25,Prov. West-Vlaanderen,2012,81.6,BE,Belgium
BE25,Prov. West-Vlaanderen,2013,81.5,BE,Belgium
BE25,Prov. West-Vlaanderen,2014,82.3,BE,Belgium
BE25,Prov. West-Vlaanderen,2015,82.0,BE,Belgium
BE25,Prov. West-Vlaanderen,2016,82.7,BE,Belgium
BE25,Prov. West-Vlaanderen,2017,82.4,BE,Belgium
BE25,Prov. West-Vlaanderen,2018,82.6,BE,Belgium
BE31,Prov. Brabant wallon,2009,80.9,BE,Belgium
BE31,Prov. Brabant wallon,2010,81.1,BE,Belgium
BE31,Prov. Brabant wallon,2011,81.3,BE,Belgium
BE31,Prov. Brabant wallon,2012,81.0,BE,Belgium
BE31,Prov. Brabant wallon,2013,82.0,BE,Belgium
BE31,Prov. Brabant wallon,2014,81.7,BE,Belgium
BE31,Prov. Brabant wallon,2015,81.7,BE,Belgium
BE31,Prov. Brabant wallon,2016,82.4,BE,Belgium
BE31,Prov. Brabant wallon,2017,82.1,BE,Belgium
BE31,Prov. Brabant wallon,2018,82.7,BE,Belgium
BE32,Prov. Hainaut,2009,77.8,BE,Belgium
BE32,Prov. Hainaut,2010,78.0,BE,Belgium
BE32,Prov. Hainaut,2011,78.2,BE,Belgium
BE32,Prov. Hainaut,2012,78.2,BE,Belgium
BE32,Prov. Hainaut,2013,78.3,BE,Belgium
BE32,Prov. Hainaut,2014,78.9,BE,Belgium
BE32,Prov. Hainaut,2015,78.6,BE,Belgium
BE32,Prov. Hainaut,2016,78.8,BE,Belgium
BE32,Prov. Hainaut,2017,79.4,BE,Belgium
BE32,Prov. Hainaut,2018,79.1,BE,Belgium
BE33,Prov. Liège,2009,78.8,BE,Belgium
BE33,Prov. Liège,2010,78.9,BE,Belgium
BE33,Prov. Liège,2011,79.0,BE,Belgium
BE33,Prov. Liège,2012,79.2,BE,Belgium
BE33,Prov. Liège,2013,79.4,BE,Belgium
BE33,Prov. Liège,2014,79.9,BE,Belgium
BE33,Prov. Liège,2015,79.4,BE,Belgium
BE33,Prov. Liège,2016,80.0,BE,Belgium
BE33,Prov. Liège,2017,79.9,BE,Belgium
BE33,Prov. Liège,2018,80.0,BE,Belgium
BE34,Prov. Luxembourg (BE),2009,78.8,BE,Belgium
BE34,Prov. Luxembourg (BE),2010,78.9,BE,Belgium
BE34,Prov. Luxembourg (BE),2011,79.4,BE,Belgium
BE34,Prov. Luxembourg (BE),2012,79.4,BE,Belgium
BE34,Prov. Luxembourg (BE),2013,79.2,BE,Belgium
BE34,Prov. Luxembourg (BE),2014,80.5,BE,Belgium
BE34,Prov. Luxembourg (BE),2015,80.1,BE,Belgium
BE34,Prov. Luxembourg (BE),2016,79.9,BE,Belgium
BE34,Prov. Luxembourg (BE),2017,80.3,BE,Belgium
BE34,Prov. Luxembourg (BE),2018,80.6,BE,Belgium
BE35,Prov. Namur,2009,78.7,BE,Belgium
BE35,Prov. Namur,2010,78.8,BE,Belgium
BE35,Prov. Namur,2011,79.2,BE,Belgium
BE35,Prov. Namur,2012,78.7,BE,Belgium
BE35,Prov. Namur,2013,78.7,BE,Belgium
BE35,Prov. Namur,2014,79.4,BE,Belgium
BE35,Prov. Namur,2015,79.3,BE,Belgium
BE35,Prov. Namur,2016,79.7,BE,Belgium
BE35,Prov. Namur,2017,79.7,BE,Belgium
BE35,Prov. Namur,2018,79.9,BE,Belgium
BG31,Severozapaden,2009,72.9,BG,Bulgaria
BG31,Severozapaden,2010,72.7,BG,Bulgaria
BG31,Severozapaden,2011,73.0,BG,Bulgaria
BG31,Severozapaden,2012,72.9,BG,Bulgaria
BG31,Severozapaden,2013,73.7,BG,Bulgaria
BG31,Severozapaden,2014,73.0,BG,Bulgaria
BG31,Severozapaden,2015,73.5,BG,Bulgaria
BG31,Severozapaden,2016,73.3,BG,Bulgaria
BG31,Severozapaden,2017,73.5,BG,Bulgaria
BG31,Severozapaden,2018,73.6,BG,Bulgaria
BG32,Severen tsentralen,2009,73.2,BG,Bulgaria
BG32,Severen tsentralen,2010,73.3,BG,Bulgaria
BG32,Severen tsentralen,2011,73.7,BG,Bulgaria
BG32,Severen tsentralen,2012,73.8,BG,Bulgaria
BG32,Severen tsentralen,2013,74.3,BG,Bulgaria
BG32,Severen tsentralen,2014,74.0,BG,Bulgaria
BG32,Severen tsentralen,2015,74.1,BG,Bulgaria
BG32,Severen tsentralen,2016,74.4,BG,Bulgaria
BG32,Severen tsentralen,2017,74.2,BG,Bulgaria
BG32,Severen tsentralen,2018,74.4,BG,Bulgaria
BG33,Severoiztochen,2009,73.2,BG,Bulgaria
