geo,geo_label,TIME_PERIOD,OBS_VALUE,OBS_FLAG
AL01,Veri,2009,,
AL01,Veri,2010,,
AL01,Veri,2011,,
AL01,Veri,2012,,
AL01,Veri,2013,,
AL01,Veri,2014,,
AL01,Veri,2015,,
AL01,Veri,2016,,
AL01,Veri,2017,,
AL01,Veri,2018,,
AL01,Veri,2019,78.7,
AL01,Veri,2020,77.3,
AL02,Qender,2009,,
AL02,Qender,2010,,
AL02,Qender,2011,,
AL02,Qender,2012,,
AL02,Qender,2013,,
AL02,Qender,2014,,
AL02,Qender,2015,,
AL02,Qender,2016,,
AL02,Qender,2017,,
AL02,Qender,2018,,
AL02,Qender,2019,81.6,
AL02,Qender,2020,78.9,
AL03,Jug,2009,,
AL03,Jug,2010,,
AL03,Jug,2011,,
AL03,Jug,2012,,
AL03,Jug,2013,,
AL03,Jug,2014,,
AL03,Jug,2015,,
AL03,Jug,2016,,
AL03,Jug,2017,,
AL03,Jug,2018,,
AL03,Jug,2019,77.4,
AL03,Jug,2020,76.2,
AT11,Burgenland (AT),2009,80.9,
AT11,Burgenland (AT),2010,80.9,
AT11,Burgenland (AT),2011,81.2,
AT11,Burgenland (AT),2012,80.6,
AT11,Burgenland (AT),2013,81.1,
AT11,Burgenland (AT),2014,81.4,
AT11,Burgenland (AT),2015,81.2,
AT11,Burgenland (AT),2016,81.4,
AT11,Burgenland (AT),2017,81.5,
AT11,Burgenland (AT),2018,81.5,
AT11,Burgenland (AT),2019,81.9,
AT11,Burgenland (AT),2020,81.8,
AT12,Niederösterreich,2009,80.1,
AT12,Niederösterreich,2010,80.5,
AT12,Niederösterreich,2011,80.8,
AT12,Niederösterreich,2012,80.6,
AT12,Niederösterreich,2013,81,
AT12,Niederösterreich,2014,81.3,
AT12,Niederösterreich,2015,81,
AT12,Niederösterreich,2016,81.4,
AT12,Niederösterreich,2017,81.6,
AT12,Niederösterreich,2018,81.5,
AT12,Niederösterreich,2019,81.7,
AT12,Niederösterreich,2020,81.3,
AT13,Wien,2009,79.4,
AT13,Wien,2010,79.6,
AT13,Wien,2011,80.1,
AT13,Wien,2012,80.1,
AT13,Wien,2013,80.1,
AT13,Wien,2014,80.5,
AT13,Wien,2015,80.4,
AT13,Wien,2016,80.9,
AT13,Wien,2017,80.8,
AT13,Wien,2018,80.6,
AT13,Wien,2019,81.1,
AT13,Wien,2020,80.2,
AT21,Kärnten,2009,80.8,
AT21,Kärnten,2010,81,
AT21,Kärnten,2011,81.4,
AT21,Kärnten,2012,81.2,
AT21,Kärnten,2013,81.7,
AT21,Kärnten,2014,81.8,
AT21,Kärnten,2015,81.4,
AT21,Kärnten,2016,81.8,
AT21,Kärnten,2017,81.9,
AT21,Kärnten,2018,81.6,
AT21,Kärnten,2019,82.2,
AT21,Kärnten,2020,81.4,
AT22,Steiermark,2009,80.6,
AT22,Steiermark,2010,81,
AT22,Steiermark,2011,81.4,
AT22,Steiermark,2012,81.5,
AT22,Steiermark,2013,81.8,
AT22,Steiermark,2014,82,
AT22,Steiermark,2015,81.3,
AT22,Steiermark,2016,82.1,
AT22,Steiermark,2017,81.8,
AT22,Steiermark,2018,82.2,
AT22,Steiermark,2019,82.2,
AT22,Steiermark,2020,81.1,
AT31,Oberösterreich,2009,80.8,
AT31,Oberösterreich,2010,81,
AT31,Oberösterreich,2011,81.5,
AT31,Oberösterreich,2012,81.5,
AT31,Oberösterreich,2013,81.4,
AT31,Oberösterreich,2014,82,
AT31,Oberösterreich,2015,81.5,
AT31,Oberösterreich,2016,82.2,
AT31,Oberösterreich,2017,82,
AT31,Oberösterreich,2018,82.2,
AT31,Oberösterreich,2019,82.3,
AT31,Oberösterreich,2020,81.7,
AT32,Salzburg,2009,81.4,
AT32,Salzburg,2010,81.6,
AT32,Salzburg,2011,81.9,
AT32,Salzburg,2012,82.1,
AT32,Salzburg,2013,82.2,
AT32,Salzburg,2014,82.6,
AT32,Salzburg,2015,82.4,
AT32,Salzburg,2016,82.7,
AT32,Salzburg,2017,82.4,
AT32,Salzburg,2018,82.9,
AT32,Salzburg,2019,82.8,
AT32,Salzburg,2020,82.2,
AT33,Tirol,2009,81.6,
AT33,Tirol,2010,81.9,
AT33,Tirol,2011,82.3,
AT33,Tirol,2012,82.2,
AT33,Tirol,2013,82.4,
AT33,Tirol,2014,82.8,
AT33,Tirol,2015,82.4,
AT33,Tirol,2016,82.8,
AT33,Tirol,2017,83.2,
AT33,Tirol,2018,83,
AT33,Tirol,2019,83,
AT33,Tirol,2020,82.4,
AT34,Vorarlberg,2009,81.7,
AT34,Vorarlberg,2010,82,
AT34,Vorarlberg,2011,82.5,
AT34,Vorarlberg,2012,82.2,
AT34,Vorarlberg,2013,82.3,
AT34,Vorarlberg,2014,83.1,
AT34,Vorarlberg,2015,82.4,
AT34,Vorarlberg,2016,82.7,
AT34,Vorarlberg,2017,82.4,
AT34,Vorarlberg,2018,82.9,
AT34,Vorarlberg,2019,83.3,
AT34,Vorarlberg,2020,82.5,
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2009,79.9,
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2010,80.2,
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2011,80.8,
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2012,80.1,
